Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 187 INTRODUCTION TO LITERARY ANALYSIS (5),BELLEVUE COLLEGE,ENGL 901 TRANSFER-IN ENGLISH LITERATURE COURSE,Humanities,1/1/2010,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 190 CONTEMPORARY LITERATURE (5),BELLEVUE COLLEGE,ENGL 226 LITERATURE & CURRENT ISSUES I (5),,1/1/2007,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 191 ART AND PUBLIC SPACES (5),BELLEVUE COLLEGE,HUMAN 901 TRANSFER-IN HUMANITIES COURSE,Humanities,9/1/2009,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 193 INTRODUCTION TO PHILOSOPHY (5),BELLEVUE COLLEGE,PHIL& 101 INTRODUCTION TO PHILOSOPHY (5),Humanities,9/1/2011,
UNIVERSITY OF WASHINGTON BOTHELL,"B CUSP 197 STUDIO ARTS: DANCE, THEATER, MUSIC, AND INTERARTS PERFORMANCE (2)",BELLEVUE COLLEGE,DRMA 901P TRANSFER-IN DRAMA PERFORMANCE COURSE,Humanities (performance/studio),1/1/2007,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 200 INTRODUCTION TO MICROECONOMICS (5),BELLEVUE COLLEGE,ECON& 201 MICROECONOMICS (5),Social Sciences,1/1/2007,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 201 INTRODUCTION TO MACROECONOMICS (5),BELLEVUE COLLEGE,ECON& 202 MACROECONOMICS (5),Social Sciences,1/1/2007,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 202 INTRODUCTION TO LAW (5),BELLEVUE COLLEGE,POLS 901 TRANSFER-IN POLITICAL SCIENCE COURSE,Social Sciences,1/1/2007,
UNIVERSITY OF WASHINGTON BOTHELL,B MATH 122 PRECALCULUS I: ALGEBRAIC FUNCTIONS (5),BELLEVUE COLLEGE,MATH& 141 PRECALCULUS I (5),Quantitative or Sciences,1/1/2014,
UNIVERSITY OF WASHINGTON BOTHELL,"B PHYS 114 GENERAL PHYSICS (4)
B PHYS 115 GENERAL PHYSICS (4)
B PHYS 116 GENERAL PHYSICS (4)
B PHYS 117 GENERAL PHYSICS LABORATORY (1)
B PHYS 118 GENERAL PHYSICS LABORATORY (1)
B PHYS 119 GENERAL PHYSICS LABORATORY (1)",BELLEVUE COLLEGE,"PHYS& 114 GENERAL PHYSICS I (6)
PHYS& 115 GENERAL PHYSICS II (6)
PHYS& 116 GENERAL PHYSICS III (6)",Sciences (Lab),,
UNIVERSITY OF WASHINGTON BOTHELL,"B PHYS 121 MECHANICS (5)
B PHYS 122 ELECTROMAGNETISM AND OSCILLATORY MOTION (5)
B PHYS 123 WAVES (5)",BELLEVUE COLLEGE,"PHYS 121 GENERAL ENGINEERING PHYSICS I (6)
PHYS 122 GENERAL ENGINEERING PHYSICS II (6)
PHYS 123 GENERAL ENGINEERING PHYSICS III (6)",,1/1/2011,
UNIVERSITY OF WASHINGTON BOTHELL,B WRIT 134 INTERDISCIPLINARY WRITING (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communications,1/1/2014,
