Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON,"CHEM 145 HONORS GENERAL CHEMISTRY (5)
CHEM 155 HONORS GENERAL CHEMISTRY (5)",BELLEVUE COLLEGE,"CHEM& 161 GENERAL CHEMISTRY I (6)
CHEM& 162 GENERAL CHEMISTRY II (6)
CHEM& 163 GENERAL CHEMISTRY III (6)",,,
UNIVERSITY OF WASHINGTON,CHEM 152 GENERAL CHEMISTRY (5),BELLEVUE COLLEGE,CHEM& 163 GENERAL CHEMISTRY III (6),"Natural Sciences
Laboratory Science",1998/7/1,
UNIVERSITY OF WASHINGTON,CHEM 154 ADVANCED GENERAL CHEMISTRY (5),BELLEVUE COLLEGE,CHEM& 163 GENERAL CHEMISTRY III (6),"Natural Sciences
Laboratory Science",2010/7/1,
UNIVERSITY OF WASHINGTON,CHEM 162 GENERAL CHEMISTRY (5),BELLEVUE COLLEGE,CHEM& 162 GENERAL CHEMISTRY II (6),,,
UNIVERSITY OF WASHINGTON,CHEM 164 ADVANCED GENERAL CHEMISTRY (5),BELLEVUE COLLEGE,CHEM& 162 GENERAL CHEMISTRY II (6),"Natural Sciences
Laboratory Science",1994/7/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHEM 220 PRINCIPLES OF CHEMISTRY II (5),BELLEVUE COLLEGE,CHEM& 131 INTRODUCTION TO ORGANIC/BIOCHEMISTRY (6),,,
UNIVERSITY OF WASHINGTON,CHEM 237 ORGANIC CHEMISTRY (4),BELLEVUE COMMUNITY COLLEGE,CHEM 901C TRANSFER-IN CHEMISTRY COURSE NON-LAB,,,
UNIVERSITY OF WASHINGTON,"CHEM 237 ORGANIC CHEMISTRY (4)
CHEM 238 ORGANIC CHEMISTRY (4)
CHEM 239 ORGANIC CHEMISTRY (3)
CHEM 241 ORGANIC CHEMISTRY LABORATORY (3)
CHEM 242 ORGANIC CHEMISTRY LABORATORY (3)",BELLEVUE COLLEGE,"CHEM& 261 ORGANIC CHEMISTRY I (6)
CHEM& 262 ORGANIC CHEMISTRY II (6)
CHEM& 263 ORGANIC CHEMISTRY III (6)",,,
UNIVERSITY OF WASHINGTON,"CHEM 238 ORGANIC CHEMISTRY (4)
CHEM 241 ORGANIC CHEMISTRY LABORATORY (3)",BELLEVUE COLLEGE,CHEM& 262 ORGANIC CHEMISTRY II (6),,,
UNIVERSITY OF WASHINGTON,"CHEM 239 ORGANIC CHEMISTRY (3)
CHEM 242 ORGANIC CHEMISTRY LABORATORY (3)",BELLEVUE COLLEGE,CHEM& 263 ORGANIC CHEMISTRY III (6),,,
UNIVERSITY OF WASHINGTON,CHEM 335 HONORS ORGANIC CHEMISTRY (4),BELLEVUE COMMUNITY COLLEGE,CHEM 901C TRANSFER-IN CHEMISTRY COURSE NON-LAB,"Natural Sciences
Laboratory Science",1994/7/1,
UNIVERSITY OF WASHINGTON,"CHEM 335 HONORS ORGANIC CHEMISTRY (4)
CHEM 336 HONORS ORGANIC CHEMISTRY (4)
CHEM 337 HONORS ORGANIC CHEMISTRY (4)
CHEM 346 ORGANIC CHEMISTRY HONORS LABORATORY (3)
CHEM 347 ORGANIC AND QUALITATIVE ORGANIC HONORS LABORATORY (3)",BELLEVUE COLLEGE,"CHEM& 261 ORGANIC CHEMISTRY I (6)
CHEM& 262 ORGANIC CHEMISTRY II (6)
CHEM& 263 ORGANIC CHEMISTRY III (6)",,,
UNIVERSITY OF WASHINGTON,"CHEM 336 HONORS ORGANIC CHEMISTRY (4)
CHEM 346 ORGANIC CHEMISTRY HONORS LABORATORY (3)",BELLEVUE COLLEGE,CHEM& 262 ORGANIC CHEMISTRY II (6),"Natural Sciences
Laboratory Science",1994/7/1,
UNIVERSITY OF WASHINGTON,"CHEM 337 HONORS ORGANIC CHEMISTRY (4)
CHEM 347 ORGANIC AND QUALITATIVE ORGANIC HONORS LABORATORY (3)",BELLEVUE COLLEGE,CHEM& 263 ORGANIC CHEMISTRY III (6),"Natural Sciences
Laboratory Science",1994/7/1,
